"","rank","abundance","proportion","plower","pupper","accumfreq","logabun","rankfreq","id","Consensus Lineage","id","taxon","Kingdom","Phylum","Class","Order","Family","Genus","Species","rep(season, nrow(df))"
"Otu31",17,4069,0.6,0.3,0.8,16.6,3.6,0.1,"Otu31","k__Bacteria; p__Acidobacteria; c__[Chloracidobacteria]; o__RB41; f__; g__; s__","Otu31","k__Bacteria; p__Acidobacteria; c__[Chloracidobacteria]; o__RB41; f__; g__; s__","k__Bacteria","p__Acidobacteria","c__[Chloracidobacteria]","o__RB41","f__","g__","s__","Unburned Prefire"
"Otu88",18,3903,0.6,0.5,0.7,17.2,3.6,0.1,"Otu88","k__Bacteria; p__Planctomycetes; c__Phycisphaerae; o__WD2101; f__; g__; s__","Otu88","k__Bacteria; p__Planctomycetes; c__Phycisphaerae; o__WD2101; f__; g__; s__","k__Bacteria","p__Planctomycetes","c__Phycisphaerae","o__WD2101","f__","g__","s__","Unburned Prefire"
"Otu15",19,3741,0.5,0.5,0.6,17.7,3.6,0.1,"Otu15","k__Bacteria; p__Acidobacteria; c__Acidobacteria-6; o__iii1-15; f__; g__; s__","Otu15","k__Bacteria; p__Acidobacteria; c__Acidobacteria-6; o__iii1-15; f__; g__; s__","k__Bacteria","p__Acidobacteria","c__Acidobacteria-6","o__iii1-15","f__","g__","s__","Unburned Prefire"
"Otu110",20,3696,0.5,0.3,0.7,18.3,3.6,0.1,"Otu110","k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__; g__; s__","Otu110","k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__; g__; s__","k__Bacteria","p__Proteobacteria","c__Betaproteobacteria","o__Burkholderiales","f__","g__","s__","Unburned Prefire"
"Otu69",21,3652,0.5,0.4,0.6,18.8,3.6,0.1,"Otu69","k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__; f__; g__; s__","Otu69","k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__; f__; g__; s__","k__Bacteria","p__Proteobacteria","c__Betaproteobacteria","o__","f__","g__","s__","Unburned Prefire"
"Otu38",22,3525,0.5,0.4,0.6,19.3,3.5,0.1,"Otu38","k__Bacteria; p__Acidobacteria; c__Acidobacteria-6; o__iii1-15; f__; g__; s__","Otu38","k__Bacteria; p__Acidobacteria; c__Acidobacteria-6; o__iii1-15; f__; g__; s__","k__Bacteria","p__Acidobacteria","c__Acidobacteria-6","o__iii1-15","f__","g__","s__","Unburned Prefire"
"Otu60",23,3509,0.5,0.3,0.8,19.8,3.5,0.2,"Otu60","k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Hyphomicrobiaceae; g__Rhodoplanes; s__","Otu60","k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Hyphomicrobiaceae; g__Rhodoplanes; s__","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rhizobiales","f__Hyphomicrobiaceae","g__Rhodoplanes","s__","Unburned Prefire"
"Otu3274",24,3445,0.5,0.4,0.6,20.3,3.5,0.2,"Otu3274","k__Bacteria; p__Acidobacteria; c__Acidobacteria-6; o__iii1-15; f__; g__; s__","Otu3274","k__Bacteria; p__Acidobacteria; c__Acidobacteria-6; o__iii1-15; f__; g__; s__","k__Bacteria","p__Acidobacteria","c__Acidobacteria-6","o__iii1-15","f__","g__","s__","Unburned Prefire"
"Otu72",25,3416,0.5,0.4,0.6,20.8,3.5,0.2,"Otu72","k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae; g__; s__","Otu72","k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae; g__; s__","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Sphingomonadales","f__Sphingomonadaceae","g__","s__","Unburned Prefire"
"Otu17",26,3375,0.5,0.3,0.7,21.3,3.5,0.2,"Otu17","k__Bacteria; p__Actinobacteria; c__Thermoleophilia; o__Solirubrobacterales; f__; g__; s__","Otu17","k__Bacteria; p__Actinobacteria; c__Thermoleophilia; o__Solirubrobacterales; f__; g__; s__","k__Bacteria","p__Actinobacteria","c__Thermoleophilia","o__Solirubrobacterales","f__","g__","s__","Unburned Prefire"
"Otu93",27,3272,0.5,0.4,0.5,21.8,3.5,0.2,"Otu93","k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Comamonadaceae; g__Methylibium; s__","Otu93","k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Comamonadaceae; g__Methylibium; s__","k__Bacteria","p__Proteobacteria","c__Betaproteobacteria","o__Burkholderiales","f__Comamonadaceae","g__Methylibium","s__","Unburned Prefire"
"Otu186",28,3252,0.5,0.4,0.5,22.2,3.5,0.2,"Otu186","k__Bacteria; p__Verrucomicrobia; c__[Spartobacteria]; o__[Chthoniobacterales]; f__[Chthoniobacteraceae]; g__Chthoniobacter; s__","Otu186","k__Bacteria; p__Verrucomicrobia; c__[Spartobacteria]; o__[Chthoniobacterales]; f__[Chthoniobacteraceae]; g__Chthoniobacter; s__","k__Bacteria","p__Verrucomicrobia","c__[Spartobacteria]","o__[Chthoniobacterales]","f__[Chthoniobacteraceae]","g__Chthoniobacter","s__","Unburned Prefire"
"Otu45",29,3202,0.5,0.3,0.6,22.7,3.5,0.2,"Otu45","k__Bacteria; p__Actinobacteria; c__Thermoleophilia; o__Solirubrobacterales; f__; g__; s__","Otu45","k__Bacteria; p__Actinobacteria; c__Thermoleophilia; o__Solirubrobacterales; f__; g__; s__","k__Bacteria","p__Actinobacteria","c__Thermoleophilia","o__Solirubrobacterales","f__","g__","s__","Unburned Prefire"
"Otu24",30,2985,0.4,0.3,0.5,23.1,3.5,0.2,"Otu24","k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Xanthomonadales; f__Sinobacteraceae; g__; s__","Otu24","k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Xanthomonadales; f__Sinobacteraceae; g__; s__","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Xanthomonadales","f__Sinobacteraceae","g__","s__","Unburned Prefire"
"Otu51",1,27138,3.5,1.7,5.3,3.5,4.4,0,"Otu5","k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Bradyrhizobiaceae; g__Bradyrhizobium; s__","Otu5","k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Bradyrhizobiaceae; g__Bradyrhizobium; s__","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rhizobiales","f__Bradyrhizobiaceae","g__Bradyrhizobium","s__","Unburned Postfire"
"Otu161",2,15877,2,1.1,3,5.5,4.2,0,"Otu16","k__Bacteria; p__Verrucomicrobia; c__[Spartobacteria]; o__[Chthoniobacterales]; f__[Chthoniobacteraceae]; g__DA101; s__","Otu16","k__Bacteria; p__Verrucomicrobia; c__[Spartobacteria]; o__[Chthoniobacterales]; f__[Chthoniobacteraceae]; g__DA101; s__","k__Bacteria","p__Verrucomicrobia","c__[Spartobacteria]","o__[Chthoniobacterales]","f__[Chthoniobacteraceae]","g__DA101","s__","Unburned Postfire"
"Otu311",3,7382,1,0.6,1.3,6.5,3.9,0,"Otu31","k__Bacteria; p__Acidobacteria; c__[Chloracidobacteria]; o__RB41; f__; g__; s__","Otu31","k__Bacteria; p__Acidobacteria; c__[Chloracidobacteria]; o__RB41; f__; g__; s__","k__Bacteria","p__Acidobacteria","c__[Chloracidobacteria]","o__RB41","f__","g__","s__","Unburned Postfire"
"Otu751",4,7194,0.9,0.7,1.2,7.4,3.9,0,"Otu75","k__Bacteria; p__Acidobacteria; c__[Chloracidobacteria]; o__RB41; f__; g__; s__","Otu75","k__Bacteria; p__Acidobacteria; c__[Chloracidobacteria]; o__RB41; f__; g__; s__","k__Bacteria","p__Acidobacteria","c__[Chloracidobacteria]","o__RB41","f__","g__","s__","Unburned Postfire"
"Otu141",5,6777,0.9,0.7,1,8.3,3.8,0,"Otu14","k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Hyphomicrobiaceae; g__Rhodoplanes; s__","Otu14","k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Hyphomicrobiaceae; g__Rhodoplanes; s__","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rhizobiales","f__Hyphomicrobiaceae","g__Rhodoplanes","s__","Unburned Postfire"
"Otu6",6,6625,0.9,0.5,1.2,9.2,3.8,0,"Otu6","k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Planococcaceae","Otu6","k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Planococcaceae","k__Bacteria","p__Firmicutes","c__Bacilli","o__Bacillales","f__Planococcaceae",NA,NA,"Unburned Postfire"
"Otu191",7,6096,0.8,0.6,0.9,9.9,3.8,0,"Otu19","k__Bacteria; p__Gemmatimonadetes; c__Gemm-1; o__; f__; g__; s__","Otu19","k__Bacteria; p__Gemmatimonadetes; c__Gemm-1; o__; f__; g__; s__","k__Bacteria","p__Gemmatimonadetes","c__Gemm-1","o__","f__","g__","s__","Unburned Postfire"
"Otu441",8,5836,0.8,0.4,1.1,10.7,3.8,0.1,"Otu44","k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Oxalobacteraceae; g__; s__","Otu44","k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Oxalobacteraceae; g__; s__","k__Bacteria","p__Proteobacteria","c__Betaproteobacteria","o__Burkholderiales","f__Oxalobacteraceae","g__","s__","Unburned Postfire"
"Otu121",9,5583,0.7,0.5,1,11.4,3.7,0.1,"Otu12","k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Geodermatophilaceae; g__; s__","Otu12","k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Geodermatophilaceae; g__; s__","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Actinomycetales","f__Geodermatophilaceae","g__","s__","Unburned Postfire"
"Otu271",10,5514,0.7,0.6,0.8,12.1,3.7,0.1,"Otu27","k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Hyphomicrobiaceae; g__Rhodoplanes; s__","Otu27","k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Hyphomicrobiaceae; g__Rhodoplanes; s__","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rhizobiales","f__Hyphomicrobiaceae","g__Rhodoplanes","s__","Unburned Postfire"
"Otu221",11,5503,0.7,0.5,0.9,12.8,3.7,0.1,"Otu22","k__Bacteria; p__Actinobacteria; c__Thermoleophilia; o__Solirubrobacterales; f__; g__; s__","Otu22","k__Bacteria; p__Actinobacteria; c__Thermoleophilia; o__Solirubrobacterales; f__; g__; s__","k__Bacteria","p__Actinobacteria","c__Thermoleophilia","o__Solirubrobacterales","f__","g__","s__","Unburned Postfire"
"Otu116",12,5106,0.7,-0.3,1.6,13.5,3.7,0.1,"Otu116","k__Bacteria; p__Acidobacteria; c__[Chloracidobacteria]; o__11-24; f__; g__; s__","Otu116","k__Bacteria; p__Acidobacteria; c__[Chloracidobacteria]; o__11-24; f__; g__; s__","k__Bacteria","p__Acidobacteria","c__[Chloracidobacteria]","o__11-24","f__","g__","s__","Unburned Postfire"
"Otu231",13,4701,0.6,0.5,0.7,14.1,3.7,0.1,"Otu23","k__Bacteria; p__Actinobacteria; c__Thermoleophilia; o__Solirubrobacterales; f__Solirubrobacteraceae; g__; s__","Otu23","k__Bacteria; p__Actinobacteria; c__Thermoleophilia; o__Solirubrobacterales; f__Solirubrobacteraceae; g__; s__","k__Bacteria","p__Actinobacteria","c__Thermoleophilia","o__Solirubrobacterales","f__Solirubrobacteraceae","g__","s__","Unburned Postfire"
"Otu151",14,4521,0.6,0.5,0.7,14.7,3.7,0.1,"Otu15","k__Bacteria; p__Acidobacteria; c__Acidobacteria-6; o__iii1-15; f__; g__; s__","Otu15","k__Bacteria; p__Acidobacteria; c__Acidobacteria-6; o__iii1-15; f__; g__; s__","k__Bacteria","p__Acidobacteria","c__Acidobacteria-6","o__iii1-15","f__","g__","s__","Unburned Postfire"
"Otu381",15,4509,0.6,0.4,0.7,15.3,3.7,0.1,"Otu38","k__Bacteria; p__Acidobacteria; c__Acidobacteria-6; o__iii1-15; f__; g__; s__","Otu38","k__Bacteria; p__Acidobacteria; c__Acidobacteria-6; o__iii1-15; f__; g__; s__","k__Bacteria","p__Acidobacteria","c__Acidobacteria-6","o__iii1-15","f__","g__","s__","Unburned Postfire"
"Otu731",16,4331,0.6,0.4,0.8,15.8,3.6,0.1,"Otu73","k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Hyphomicrobiaceae; g__Rhodoplanes; s__","Otu73","k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Hyphomicrobiaceae; g__Rhodoplanes; s__","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rhizobiales","f__Hyphomicrobiaceae","g__Rhodoplanes","s__","Unburned Postfire"
"Otu32741",17,4131,0.5,0.4,0.6,16.4,3.6,0.1,"Otu3274","k__Bacteria; p__Acidobacteria; c__Acidobacteria-6; o__iii1-15; f__; g__; s__","Otu3274","k__Bacteria; p__Acidobacteria; c__Acidobacteria-6; o__iii1-15; f__; g__; s__","k__Bacteria","p__Acidobacteria","c__Acidobacteria-6","o__iii1-15","f__","g__","s__","Unburned Postfire"
"Otu721",18,4068,0.5,0.4,0.7,16.9,3.6,0.1,"Otu72","k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae; g__; s__","Otu72","k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae; g__; s__","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Sphingomonadales","f__Sphingomonadaceae","g__","s__","Unburned Postfire"
"Otu35",19,3876,0.5,0.3,0.7,17.4,3.6,0.1,"Otu35","k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Mycobacteriaceae; g__Mycobacterium; s__","Otu35","k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Mycobacteriaceae; g__Mycobacterium; s__","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Actinomycetales","f__Mycobacteriaceae","g__Mycobacterium","s__","Unburned Postfire"
"Otu2233",20,3868,0.5,0.4,0.6,17.9,3.6,0.1,"Otu2233","k__Bacteria; p__Acidobacteria; c__Acidobacteria-6; o__iii1-15; f__; g__; s__","Otu2233","k__Bacteria; p__Acidobacteria; c__Acidobacteria-6; o__iii1-15; f__; g__; s__","k__Bacteria","p__Acidobacteria","c__Acidobacteria-6","o__iii1-15","f__","g__","s__","Unburned Postfire"
"Otu1861",21,3692,0.5,0.4,0.6,18.4,3.6,0.1,"Otu186","k__Bacteria; p__Verrucomicrobia; c__[Spartobacteria]; o__[Chthoniobacterales]; f__[Chthoniobacteraceae]; g__Chthoniobacter; s__","Otu186","k__Bacteria; p__Verrucomicrobia; c__[Spartobacteria]; o__[Chthoniobacterales]; f__[Chthoniobacteraceae]; g__Chthoniobacter; s__","k__Bacteria","p__Verrucomicrobia","c__[Spartobacteria]","o__[Chthoniobacterales]","f__[Chthoniobacteraceae]","g__Chthoniobacter","s__","Unburned Postfire"
"Otu1101",22,3621,0.5,0.3,0.6,18.8,3.6,0.1,"Otu110","k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__; g__; s__","Otu110","k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__; g__; s__","k__Bacteria","p__Proteobacteria","c__Betaproteobacteria","o__Burkholderiales","f__","g__","s__","Unburned Postfire"
"Otu431",23,3598,0.5,0.4,0.5,19.3,3.6,0.2,"Otu43","k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Ellin6067; f__; g__; s__","Otu43","k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Ellin6067; f__; g__; s__","k__Bacteria","p__Proteobacteria","c__Betaproteobacteria","o__Ellin6067","f__","g__","s__","Unburned Postfire"
"Otu501",24,3509,0.5,0.3,0.6,19.7,3.5,0.2,"Otu50","k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Comamonadaceae; g__; s__","Otu50","k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Comamonadaceae; g__; s__","k__Bacteria","p__Proteobacteria","c__Betaproteobacteria","o__Burkholderiales","f__Comamonadaceae","g__","s__","Unburned Postfire"
"Otu80",25,3476,0.4,0.1,0.8,20.2,3.5,0.2,"Otu80","k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Pseudomonadaceae; g__Pseudomonas; s__","Otu80","k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Pseudomonadaceae; g__Pseudomonas; s__","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Pseudomonadales","f__Pseudomonadaceae","g__Pseudomonas","s__","Unburned Postfire"
"Otu451",26,3452,0.4,0.3,0.6,20.6,3.5,0.2,"Otu45","k__Bacteria; p__Actinobacteria; c__Thermoleophilia; o__Solirubrobacterales; f__; g__; s__","Otu45","k__Bacteria; p__Actinobacteria; c__Thermoleophilia; o__Solirubrobacterales; f__; g__; s__","k__Bacteria","p__Actinobacteria","c__Thermoleophilia","o__Solirubrobacterales","f__","g__","s__","Unburned Postfire"
"Otu125",27,3439,0.4,-0.2,1.1,21.1,3.5,0.2,"Otu125","k__Bacteria; p__Acidobacteria; c__[Chloracidobacteria]; o__11-24; f__; g__; s__","Otu125","k__Bacteria; p__Acidobacteria; c__[Chloracidobacteria]; o__11-24; f__; g__; s__","k__Bacteria","p__Acidobacteria","c__[Chloracidobacteria]","o__11-24","f__","g__","s__","Unburned Postfire"
"Otu171",28,3434,0.4,0.3,0.6,21.5,3.5,0.2,"Otu17","k__Bacteria; p__Actinobacteria; c__Thermoleophilia; o__Solirubrobacterales; f__; g__; s__","Otu17","k__Bacteria; p__Actinobacteria; c__Thermoleophilia; o__Solirubrobacterales; f__; g__; s__","k__Bacteria","p__Actinobacteria","c__Thermoleophilia","o__Solirubrobacterales","f__","g__","s__","Unburned Postfire"
"Otu61",29,3375,0.4,0.3,0.6,21.9,3.5,0.2,"Otu61","k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Pseudonocardiaceae; g__Pseudonocardia; s__","Otu61","k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Pseudonocardiaceae; g__Pseudonocardia; s__","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Actinomycetales","f__Pseudonocardiaceae","g__Pseudonocardia","s__","Unburned Postfire"
"Otu332",30,3234,0.4,0.3,0.6,22.4,3.5,0.2,"Otu332","k__Bacteria; p__Bacteroidetes; c__[Saprospirae]; o__[Saprospirales]; f__Chitinophagaceae; g__; s__","Otu332","k__Bacteria; p__Bacteroidetes; c__[Saprospirae]; o__[Saprospirales]; f__Chitinophagaceae; g__; s__","k__Bacteria","p__Bacteroidetes","c__[Saprospirae]","o__[Saprospirales]","f__Chitinophagaceae","g__","s__","Unburned Postfire"
