"","rank","abundance","proportion","plower","pupper","accumfreq","logabun","rankfreq","id","Consensus Lineage","id","taxon","Kingdom","Phylum","Class","Order","Family","Genus","Species","rep(season, nrow(df))"
"Otu13",6,18639,1.9,1,2.7,25.7,4.3,0,"Otu13","k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus; s__","Otu13","k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus; s__","k__Bacteria","p__Firmicutes","c__Bacilli","o__Bacillales","f__Bacillaceae","g__Bacillus","s__","Burned Postfire"
"Otu11",7,15869,1.6,-1.5,4.7,27.3,4.2,0,"Otu11","k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Pseudonocardiaceae; g__Amycolatopsis; s__","Otu11","k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Pseudonocardiaceae; g__Amycolatopsis; s__","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Actinomycetales","f__Pseudonocardiaceae","g__Amycolatopsis","s__","Burned Postfire"
"Otu33",8,12656,1.3,0.3,2.3,28.6,4.1,0.1,"Otu33","k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Thermoactinomycetaceae; g__; s__","Otu33","k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Thermoactinomycetaceae; g__; s__","k__Bacteria","p__Firmicutes","c__Bacilli","o__Bacillales","f__Thermoactinomycetaceae","g__","s__","Burned Postfire"
"Otu34",9,11700,1.2,0.4,2,29.8,4.1,0.1,"Otu34","k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Thermomonosporaceae; g__; s__","Otu34","k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Thermomonosporaceae; g__; s__","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Actinomycetales","f__Thermomonosporaceae","g__","s__","Burned Postfire"
"Otu1421",10,11510,1.2,0.3,2,30.9,4.1,0.1,"Otu1421","k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Micromonosporaceae; g__; s__","Otu1421","k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Micromonosporaceae; g__; s__","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Actinomycetales","f__Micromonosporaceae","g__","s__","Burned Postfire"
"Otu17024",11,11269,1.1,0.5,1.8,32.1,4.1,0.1,"Otu17024","k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus; s__muralis","Otu17024","k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus; s__muralis","k__Bacteria","p__Firmicutes","c__Bacilli","o__Bacillales","f__Bacillaceae","g__Bacillus","s__muralis","Burned Postfire"
"Otu2032",12,11104,1.1,0.7,1.6,33.2,4,0.1,"Otu2032","k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Planococcaceae; g__Solibacillus; s__","Otu2032","k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Planococcaceae; g__Solibacillus; s__","k__Bacteria","p__Firmicutes","c__Bacilli","o__Bacillales","f__Planococcaceae","g__Solibacillus","s__","Burned Postfire"
"Otu61",13,10568,1.1,0.5,1.6,34.3,4,0.1,"Otu61","k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Pseudonocardiaceae; g__Pseudonocardia; s__","Otu61","k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Pseudonocardiaceae; g__Pseudonocardia; s__","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Actinomycetales","f__Pseudonocardiaceae","g__Pseudonocardia","s__","Burned Postfire"
"Otu49",14,10566,1.1,0.6,1.6,35.4,4,0.1,"Otu49","k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Paenibacillaceae; g__Cohnella; s__","Otu49","k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Paenibacillaceae; g__Cohnella; s__","k__Bacteria","p__Firmicutes","c__Bacilli","o__Bacillales","f__Paenibacillaceae","g__Cohnella","s__","Burned Postfire"
"Otu68",15,10174,1,-0.2,2.3,36.4,4,0.1,"Otu68","k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Thermomonosporaceae; g__Actinoallomurus; s__iriomotensis","Otu68","k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Thermomonosporaceae; g__Actinoallomurus; s__iriomotensis","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Actinomycetales","f__Thermomonosporaceae","g__Actinoallomurus","s__iriomotensis","Burned Postfire"
"Otu1247",16,9859,1,0.3,1.7,37.4,4,0.1,"Otu1247","k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Streptomycetaceae; g__Streptomyces","Otu1247","k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Streptomycetaceae; g__Streptomyces","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Actinomycetales","f__Streptomycetaceae","g__Streptomyces",NA,"Burned Postfire"
"Otu231",17,7732,0.8,0.4,1.1,38.2,3.9,0.1,"Otu23","k__Bacteria; p__Actinobacteria; c__Thermoleophilia; o__Solirubrobacterales; f__Solirubrobacteraceae; g__; s__","Otu23","k__Bacteria; p__Actinobacteria; c__Thermoleophilia; o__Solirubrobacterales; f__Solirubrobacteraceae; g__; s__","k__Bacteria","p__Actinobacteria","c__Thermoleophilia","o__Solirubrobacterales","f__Solirubrobacteraceae","g__","s__","Burned Postfire"
"Otu52",18,7474,0.8,0.5,1,38.9,3.9,0.1,"Otu5","k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Bradyrhizobiaceae; g__Bradyrhizobium; s__","Otu5","k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Bradyrhizobiaceae; g__Bradyrhizobium; s__","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rhizobiales","f__Bradyrhizobiaceae","g__Bradyrhizobium","s__","Burned Postfire"
"Otu141",19,7386,0.8,0.6,0.9,39.7,3.9,0.1,"Otu14","k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Hyphomicrobiaceae; g__Rhodoplanes; s__","Otu14","k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Hyphomicrobiaceae; g__Rhodoplanes; s__","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rhizobiales","f__Hyphomicrobiaceae","g__Rhodoplanes","s__","Burned Postfire"
"Otu22",20,7143,0.7,0.1,1.4,40.4,3.9,0.1,"Otu22","k__Bacteria; p__Actinobacteria; c__Thermoleophilia; o__Solirubrobacterales; f__; g__; s__","Otu22","k__Bacteria; p__Actinobacteria; c__Thermoleophilia; o__Solirubrobacterales; f__; g__; s__","k__Bacteria","p__Actinobacteria","c__Thermoleophilia","o__Solirubrobacterales","f__","g__","s__","Burned Postfire"
"Otu171",21,6906,0.7,0.5,0.9,41.1,3.8,0.1,"Otu17","k__Bacteria; p__Actinobacteria; c__Thermoleophilia; o__Solirubrobacterales; f__; g__; s__","Otu17","k__Bacteria; p__Actinobacteria; c__Thermoleophilia; o__Solirubrobacterales; f__; g__; s__","k__Bacteria","p__Actinobacteria","c__Thermoleophilia","o__Solirubrobacterales","f__","g__","s__","Burned Postfire"
"Otu471",22,6230,0.6,0.1,1.1,41.8,3.8,0.1,"Otu47","k__Bacteria; p__Gemmatimonadetes; c__Gemm-1; o__; f__; g__; s__","Otu47","k__Bacteria; p__Gemmatimonadetes; c__Gemm-1; o__; f__; g__; s__","k__Bacteria","p__Gemmatimonadetes","c__Gemm-1","o__","f__","g__","s__","Burned Postfire"
"Otu40",23,6142,0.6,0.4,0.9,42.4,3.8,0.2,"Otu40","k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__; g__; s__","Otu40","k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__; g__; s__","k__Bacteria","p__Firmicutes","c__Bacilli","o__Bacillales","f__","g__","s__","Burned Postfire"
"Otu191",24,5477,0.6,0.2,0.9,42.9,3.7,0.2,"Otu19","k__Bacteria; p__Gemmatimonadetes; c__Gemm-1; o__; f__; g__; s__","Otu19","k__Bacteria; p__Gemmatimonadetes; c__Gemm-1; o__; f__; g__; s__","k__Bacteria","p__Gemmatimonadetes","c__Gemm-1","o__","f__","g__","s__","Burned Postfire"
"Otu291",25,4997,0.5,0.3,0.7,43.4,3.7,0.2,"Otu29","k__Bacteria; p__Actinobacteria; c__Thermoleophilia; o__Solirubrobacterales; f__; g__; s__","Otu29","k__Bacteria; p__Actinobacteria; c__Thermoleophilia; o__Solirubrobacterales; f__; g__; s__","k__Bacteria","p__Actinobacteria","c__Thermoleophilia","o__Solirubrobacterales","f__","g__","s__","Burned Postfire"
"Otu151",26,4989,0.5,0.3,0.7,44,3.7,0.2,"Otu15","k__Bacteria; p__Acidobacteria; c__Acidobacteria-6; o__iii1-15; f__; g__; s__","Otu15","k__Bacteria; p__Acidobacteria; c__Acidobacteria-6; o__iii1-15; f__; g__; s__","k__Bacteria","p__Acidobacteria","c__Acidobacteria-6","o__iii1-15","f__","g__","s__","Burned Postfire"
"Otu57",27,4742,0.5,0.1,0.9,44.4,3.7,0.2,"Otu57","k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Thermoactinomycetaceae","Otu57","k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Thermoactinomycetaceae","k__Bacteria","p__Firmicutes","c__Bacilli","o__Bacillales","f__Thermoactinomycetaceae",NA,NA,"Burned Postfire"
"Otu26",28,4670,0.5,0.3,0.7,44.9,3.7,0.2,"Otu26","k__Bacteria; p__Actinobacteria; c__Thermoleophilia; o__Gaiellales; f__Gaiellaceae; g__; s__","Otu26","k__Bacteria; p__Actinobacteria; c__Thermoleophilia; o__Gaiellales; f__Gaiellaceae; g__; s__","k__Bacteria","p__Actinobacteria","c__Thermoleophilia","o__Gaiellales","f__Gaiellaceae","g__","s__","Burned Postfire"
"Otu86",29,4590,0.5,0.1,0.9,45.4,3.7,0.2,"Otu86","k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Thermoactinomycetaceae; g__Shimazuella; s__","Otu86","k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Thermoactinomycetaceae; g__Shimazuella; s__","k__Bacteria","p__Firmicutes","c__Bacilli","o__Bacillales","f__Thermoactinomycetaceae","g__Shimazuella","s__","Burned Postfire"
"Otu84",30,4482,0.5,0.1,0.8,45.8,3.7,0.2,"Otu84","k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Thermoactinomycetaceae; g__; s__","Otu84","k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Thermoactinomycetaceae; g__; s__","k__Bacteria","p__Firmicutes","c__Bacilli","o__Bacillales","f__Thermoactinomycetaceae","g__","s__","Burned Postfire"
